id_cli,text_cli_en,text_cli_de,Zuordnung zu boreholeML LithologyList - Name,Zuordnung zu boreholeML LithologyList - Code
15103001,igneous rock,Magmatit,,
15103003,intrusive rock,Intrusivgestein,,
4000,Unknown,Unbekannt,,
15101005,fall deposit,Sturzablagerung,,
15101006,rock avalanche deposit,Bergsturzablagerung,,
15101007,rock fall deposit,Felssturzablagerung,,
15101008,avalanche debris,Lawinenschutt,,
15101009,fine-grained scree,Hangschutt,,
15101010,coarse-grained scree,Blockschutt,,
15101012,argillaceous weathering deposit,Verwitterungslehm,,
15101013,loam deposit on plateau,Plateaulehm,,
15101014,colluvium,"Hanglehm, Schwemmlehm",,
15101015,rock glacier,Blockgletscher,,
15101016,strongly shattered sagging mass,zerrüttete Sackungsmasse ,,
15101017,slide deposit,Rutschmasse,,
15101019,glacial deposit,glazigenes Sediment,,
15101021,till,Moräne (Till),,
15101024,glacier or dead iche covered by till,Moräne auf Gletscher oder Toteis ,,
15101026,fluvial deposit,fluviatiles Sediment,,
15101028,glaciofluvial deposit,glazifluviatiles Sediment,,
15101029,kame terrace deposit,Kameterrassensediment,,
15101030,ice-marginal gravel,randglazialer Schotter,,
15101031,gaciofluvial gravel,glazifluviatiler Schotter,,
15101032,gravel of glacial advance,Vorstossschotter,,
15101033,gravel of glacial retreat,Rückzugsschotter,,
15101034,dammed deposit,Stauschotter,,
15101036,mixed deposit,gemischter Schutt,,
15101037,debris flow deposit,Murgangablagerung,,
15101039,alluvial deposit,Alluvion,,
15101040,fluvial gravel,fluviatiler Schotter,,
15101041,river gravel,Bachschutt,,
15101042,flood plain deposit,Überschwemmungssediment,,
15101044,lacustrine deposit,lakustrisches Sediment,,
15101046,glaciolacustrine deposit,glazilakustrisches Sediment,,
15101047,glaciolacustrine deltaic deposit,glazilakustrisches Deltasediment,,
15101048,waterllaid till,subaquatisch abgelagerte Moräne (Waterlaid Till),,
15101049,aggradation deposit,detritische Verlandungsbildung,,
15101051,palustric deposit,palustrisches Sediment,,
15101052,marsh,Sumpf,,
15101053,"peat bog, peat","Torfmoor, Torf",,
15101054,palustric lignite,palustrischer Lignit,,
15101055,ice-dammed lake deposit,Rückstausediment,,
15101056,beach deposit,Strandablagerungen,,
