id_cli,text_cli_en,text_cli_de,URI
15001002,Cenozoic,Känozoikum,http://resource.geosciml.org/classifier/ics/ischart/Cenozoic
15001003,Quaternary,Quartär,http://resource.geosciml.org/classifier/ics/ischart/Quaternary
15001004,Holocene,Holozän,http://resource.geosciml.org/classifier/ics/ischart/Holocene
15001005,Pleistocene,Pleistozän,http://resource.geosciml.org/classifier/ics/ischart/Pleistocene
15001009,Early Pleistocene,Frühes Pleistozän,http://resource.geosciml.org/classifier/ics/ischart/Pleistocene
15001013,Neogene,Neogen,http://resource.geosciml.org/classifier/ics/ischart/Neogene
15001017,Miocene,Miozän,http://resource.geosciml.org/classifier/ics/ischart/Miocene
15001020,Tortonian,Tortonien,http://resource.geosciml.org/classifier/ics/ischart/Tortonian 
15001021,Middle Miocene,Mittleres Miozän,http://resource.geosciml.org/classifier/ics/ischart/Miocene
15001024,Early Miocene,Frühes Miozän,http://resource.geosciml.org/classifier/ics/ischart/Miocene
15001025,Burdigalian,Burdigalien,http://resource.geosciml.org/classifier/ics/ischart/Burdigalian
15001026,Late Burdigalian,Spätes Burdigalien,http://resource.geosciml.org/classifier/ics/ischart/Burdigalian
15001028,Aquitanian,Aquitanien,http://resource.geosciml.org/classifier/ics/ischart/Aquitanian 
15001029,Palaeogene,Paläogen,
15001030,Oligocene,Oligozän,http://resource.geosciml.org/classifier/ics/ischart/Oligocene
15001031,Chattian,Chattien,http://resource.geosciml.org/classifier/ics/ischart/Chattian
15001035,Eocene,Eozän,http://resource.geosciml.org/classifier/ics/ischart/Eocene
15001036,Late Eocene,Spätes Eozän,http://resource.geosciml.org/classifier/ics/ischart/Priabonian
15001037,Priabonian,Priabonien,http://resource.geosciml.org/classifier/ics/ischart/Priabonian
15001040,Middle Eocene,Mittleres Eozän,http://resource.geosciml.org/classifier/ics/ischart/Eocene
15001041,Bartonian,Bartonien,http://resource.geosciml.org/classifier/ics/ischart/Bartonian
15001042,Lutetian,Lutétien,http://resource.geosciml.org/classifier/ics/ischart/Lutetian
15001045,Paleocene,Paleozän,http://resource.geosciml.org/classifier/ics/ischart/Paleocene
15001049,Mesozoic,Mesozoikum,http://resource.geosciml.org/classifier/ics/ischart/Mesozoic
15001050,Cretaceaous,Kreide,
15001051,Late Cretaceous,Späte Kreide,http://resource.geosciml.org/classifier/ics/ischart/UpperCretaceous
15001053,Campanian,Campanien,http://resource.geosciml.org/classifier/ics/ischart/Campanian
15001055,Coniacian,Coniacien,http://resource.geosciml.org/classifier/ics/ischart/Coniacian
15001057,Cenomanian,Cénomanien,http://resource.geosciml.org/classifier/ics/ischart/Cenomanian
15001058,Early Cretaceous,Frühe Kreide,http://resource.geosciml.org/classifier/ics/ischart/LowerCretaceous
15001059,Albian,Albien,http://resource.geosciml.org/classifier/ics/ischart/Albian
15001060,Aptian,Aptien,http://resource.geosciml.org/classifier/ics/ischart/Aptian
15001061,Barremian,Barrémien,http://resource.geosciml.org/classifier/ics/ischart/Barremian
15001062,Hauterivian,Hauterivien,http://resource.geosciml.org/classifier/ics/ischart/Hauterivian
15001063,Valanginian,Valanginien,http://resource.geosciml.org/classifier/ics/ischart/Valanginian
15001064,Berriasian,Berriasien,http://resource.geosciml.org/classifier/ics/ischart/Berriasian
15001066,Late Jurassic,Später Jura,http://resource.geosciml.org/classifier/ics/ischart/UpperJurassic
15001067,Tithonian,Tithonien,http://resource.geosciml.org/classifier/ics/ischart/Tithonian
15001068,Kimmeridgian,Kimméridgien,http://resource.geosciml.org/classifier/ics/ischart/Kimmeridgian
15001069,Oxfordian,Oxfordien,http://resource.geosciml.org/classifier/ics/ischart/Oxfordian
15001070,Middle Jurassic,Mittlerer Jura,http://resource.geosciml.org/classifier/ics/ischart/MiddleJurassic
15001071,Callovian,Callovien,http://resource.geosciml.org/classifier/ics/ischart/Callovian
15001072,Bathonian,Bathonien,http://resource.geosciml.org/classifier/ics/ischart/Bathonian
15001073,Bajocian,Bajocien,http://resource.geosciml.org/classifier/ics/ischart/Bajocian
