id_cli,text_cli_en,text_cli_de,URI
15103001,igneous rock,Magmatit,http://inspire.ec.europa.eu/codelist/LithologyValue/peridotite
15103003,intrusive rock,Intrusivgestein,http://inspire.ec.europa.eu/codelist/LithologyValue/igneousRock
4000,Unknown,Unbekannt,
15101005,fall deposit,Sturzablagerung,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101006,rock avalanche deposit,Bergsturzablagerung,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101007,rock fall deposit,Felssturzablagerung,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101008,avalanche debris,Lawinenschutt,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101009,fine-grained scree,Hangschutt,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101010,coarse-grained scree,Blockschutt,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101012,argillaceous weathering deposit,Verwitterungslehm,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101013,loam deposit on plateau,Plateaulehm,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101014,colluvium,"Hanglehm, Schwemmlehm",http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101015,rock glacier,Blockgletscher,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101016,strongly shattered sagging mass,zerrüttete Sackungsmasse ,http://inspire.ec.europa.eu/codelist/LithologyValue/materialFormedInSurficialEnvironment
15101017,slide deposit,Rutschmasse,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
15101019,glacial deposit,glazigenes Sediment,http://inspire.ec.europa.eu/codelist/LithologyValue/peat
15101021,till,Moräne (Till),http://inspire.ec.europa.eu/codelist/LithologyValue/lignite
15101024,glacier or dead iche covered by till,Moräne auf Gletscher oder Toteis ,http://inspire.ec.europa.eu/codelist/LithologyValue/lignite
15101026,fluvial deposit,fluviatiles Sediment,http://inspire.ec.europa.eu/codelist/LithologyValue/travertine
15101028,glaciofluvial deposit,glazifluviatiles Sediment,http://inspire.ec.europa.eu/codelist/LithologyValue/sediment
